SampleID,StationCode,SampleDate,SampleType,Replicate,ActualLatitude,ActualLongitude,Volume,Count,ProjectCode,EventCode,ProtocolCode,AgencyCode,SampleComments,LocationCode,GeometryShape,CollectionTime,CollectionMethodCode,CollectionDeviceName,CollectionDepth,UnitCollectionDepth,PositionWaterColumn,LabCollectionComments
LSB14-Manta-24Aug2017,LSB14,8/24/2017,Grab,1,37.47149667,-122.0643783,167410.4373,303,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,1:09:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,"Put Manta in to rinse; Boat speed/direction - start 2.3kts, 330; end 3.5kts (used average); Depth - 2.8 ft; going against current"
LSB14-Manta-Blank-06Mar2018,LSB14,3/6/2018,FieldBlank,1,37.48013333,-122.0780917,0,3,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,Not Applicable,Point,1:32:00 PM,Not Applicable,None,-88,m,Not Applicable,Taken after super muddy sample LSB16
LSB15-Manta-06Mar2018,LSB15,3/6/2018,Grab,1,37.46538,-122.09122,87424.81038,23,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,2:42:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,Boat speed - 2 knots ground > 2 knots water
LSB15-Manta-24Aug2017,LSB15,8/24/2017,Grab,1,37.46136333,-122.0844583,124083.4619,46,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,2:55:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,"Small fish (miss. silver sides) in sample; Boat speed - 4 knots start, 68; 2.4 knots end (used average), 44; Depth - 6.7 ft; Restart/redeploy, net got caught on something"
LSB15-Manta-DUP-06Mar2018,LSB15,3/6/2018,Grab,2,37.46538,-122.09122,92556.08722,78,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,3:30:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,"Boat speed - 2.5 knots ground, 3 knots water"
LSB16-Manta-06Mar2018,LSB16,3/6/2018,Grab,1,37.45280833,-122.0330933,90061.30558,48,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,11:58:00 AM,Trawl,5Gyres Manta Trawl,0,m,Surface,Super muddy - couldn't get all mud out of net
LSB16-Manta-24Aug2017,LSB16,8/24/2017,Grab,1,37.46448333,-122.0271283,99559.22893,16,17-18_MP_Moore,WQ,17-18_MP_Moore,SFEI,,OpenWater1,Line,4:27:00 PM,Trawl,5Gyres Manta Trawl,0,m,Surface,Depth 20
Manta_LabBlank1,LABQA,1/1/1950,LabBlank,1,,,0,1,17-18_MP_Moore,WQ,17-18_MP_Moore,UoT-RL,,Not Applicable,Point,12:00:00 AM,Not Applicable,None,-88,m,Not Applicable,
Manta_LabBlank2,LABQA,1/2/1950,LabBlank,1,,,0,2,17-18_MP_Moore,WQ,17-18_MP_Moore,UoT-RL,,Not Applicable,Point,12:00:00 AM,Not Applicable,None,-88,m,Not Applicable,
Manta_LabBlank3,LABQA,1/3/1950,LabBlank,1,,,0,2,17-18_MP_Moore,WQ,17-18_MP_Moore,UoT-RL,,Not Applicable,Point,12:00:00 AM,Not Applicable,None,-88,m,Not Applicable,
